GENERAZIONE,MAX,MEDIA,VARIANZA
352,105,54,817,
353,105,61,777,
354,105,69,650,
355,105,75,595,
356,105,81,478,
357,105,87,330,
358,105,93,260,
359,105,93,222,
360,105,96,157,
361,105,98,116,
362,105,98,109,
363,105,98,88,
364,105,100,54,
365,105,100,53,
366,105,101,41,
367,106,103,20,
368,106,103,19,
369,106,104,3,
370,106,104,1,
371,106,104,0,
372,106,104,1,
373,106,104,2,
374,106,104,2,
375,106,104,0,
376,106,105,0,
377,106,34,652,
378,106,39,761,
379,106,47,856,
380,106,57,763,
381,106,65,770,
382,106,72,675,
383,106,78,539,
384,106,86,397,
385,106,90,329,
386,106,95,188,
387,106,97,129,
388,106,98,130,
389,106,101,64,
390,106,101,34,
391,106,102,26,
392,106,101,27,
393,106,102,23,
394,106,103,14,
395,106,103,14,
396,106,104,9,
397,106,105,8,
398,106,105,4,
399,106,105,4,
400,106,105,1,
401,106,105,1,
402,106,105,0,
403,106,105,0,
404,106,33,681,
405,106,38,767,
406,106,42,672,
407,106,49,644,
408,106,55,649,
409,106,61,592,
410,106,69,431,
411,106,72,366,
412,106,76,373,
413,105,80,252,
414,105,85,178,
415,105,86,205,
416,106,87,203,
417,106,90,153,
418,108,91,144,
419,107,94,106,
420,107,96,55,
421,107,97,45,
422,107,98,44,
423,108,100,37,
424,108,102,21,
425,109,103,22,
426,109,103,14,
427,109,104,13,
428,109,105,11,
429,109,105,7,
430,109,106,6,
431,109,106,5,
432,109,106,3,
433,109,107,3,
434,109,107,3,
435,109,107,1,
436,109,108,1,
437,109,108,1,
438,109,108,1,
439,109,108,1,
440,109,108,1,
441,109,108,0,
442,109,108,0,
443,109,33,719,
444,109,38,731,
445,109,45,833,
446,109,53,910,
447,109,61,830,
448,109,70,678,
449,109,77,589,
450,109,81,535,
451,109,91,308,
452,109,93,289,
453,109,97,187,
454,109,101,116,
455,109,101,139,
456,109,102,116,
457,110,104,63,
458,110,105,48,
459,110,107,22,
460,110,107,11,
461,110,108,11,
462,110,108,3,
463,110,108,4,
464,110,108,4,
465,110,108,0,
466,110,108,1,
467,110,109,1,
468,110,109,0,
469,110,109,0,
470,110,34,729,
471,110,39,722,
472,110,45,800,
473,110,53,817,
474,110,57,572,
475,110,65,456,
476,101,70,314,
477,98,73,267,
478,102,76,221,
479,106,81,160,
480,108,83,124,
481,107,86,119,
482,107,89,99,
483,108,91,82,
484,109,93,91,
485,109,94,84,
486,109,97,78,
487,109,98,66,
488,110,100,52,
489,110,101,47,
490,110,102,39,
491,110,103,46,
492,110,104,26,
493,110,105,16,
494,110,106,14,
495,110,106,14,
496,110,107,10,
497,110,107,7,
498,110,108,6,
499,110,108,7,
500,110,108,7,
501,110,108,5,
502,111,109,4,
503,111,109,2,
504,111,109,3,
505,111,109,3,
506,111,109,2,
507,111,109,2,
508,111,109,1,
509,111,109,1,
510,111,109,1,
511,111,110,1,
512,111,110,0,
513,111,110,0,
514,111,33,754,
515,111,40,872,
516,111,48,982,
517,111,61,1121,
518,111,74,1013,
519,111,84,618,
520,111,92,349,
521,111,96,256,
522,111,99,234,
523,111,102,121,
524,111,104,101,
525,111,105,80,
526,111,108,20,
527,111,109,8,
528,111,109,8,
529,111,109,6,
530,111,109,6,
531,111,109,4,
532,111,110,3,
533,111,110,3,
534,111,110,1,
535,111,110,1,
536,111,110,2,
537,111,110,2,
538,111,110,3,
539,111,110,3,
540,111,110,3,
541,111,110,4,
542,111,110,6,
543,111,110,4,
544,111,110,4,
545,111,110,4,
546,111,110,4,
547,111,110,5,
548,111,110,4,
549,111,110,4,
550,111,110,2,
551,111,110,2,
552,111,110,2,
553,111,111,0,
554,111,111,0,
555,111,33,761,
556,111,41,1026,
557,111,45,837,
558,111,55,896,
559,111,64,808,
560,111,70,771,
561,111,77,711,
562,111,83,688,
563,111,91,469,
564,111,94,353,
565,111,99,224,
566,111,104,111,
567,111,106,91,
568,111,107,50,
569,111,108,45,
570,111,107,37,
571,111,108,33,
572,111,109,14,
573,111,110,7,
574,111,109,9,
575,111,110,8,
576,111,110,8,
577,111,110,4,
578,111,110,5,
579,111,110,2,
580,111,110,1,
581,111,110,1,
582,111,110,0,
583,111,110,0,
584,111,33,760,
585,111,39,928,
586,111,47,879,
587,111,53,693,
588,111,60,656,
589,111,67,731,
590,111,77,588,
591,111,80,477,
592,111,87,315,
593,111,92,268,
594,111,96,235,
595,111,99,164,
596,111,101,125,
597,111,104,75,
598,111,105,62,
599,111,106,49,
600,111,107,35,
601,111,108,25,
602,111,109,14,
603,111,109,5,
604,111,110,2,
605,111,110,1,
606,111,110,0,
607,111,111,0,
608,111,34,754,
609,111,40,901,
610,111,48,942,
611,111,61,982,
612,111,70,806,
613,111,79,544,
614,111,82,439,
615,111,89,408,
616,111,93,312,
617,111,98,196,
618,111,100,151,
619,111,103,110,
620,111,105,93,
621,111,106,44,
622,111,106,39,
623,111,108,25,
624,111,109,14,
625,111,109,10,
626,111,110,7,
627,111,110,5,
628,111,110,4,
629,111,110,2,
630,111,110,3,
631,111,110,3,
632,111,110,3,
633,111,110,1,
634,111,110,1,
635,111,110,1,
636,111,110,1,
637,111,110,0,
638,111,110,0,
639,111,33,760,
640,111,37,715,
641,111,45,725,
642,111,55,738,
643,111,62,641,
644,111,69,601,
645,111,76,469,
646,111,82,483,
647,111,88,352,
648,111,94,173,
649,111,98,124,
650,111,100,114,
651,111,103,72,
652,111,104,65,
653,111,105,47,
654,111,107,21,
655,112,108,14,
656,112,108,11,
657,112,109,8,
658,112,109,6,
659,112,109,5,
660,112,109,5,
661,112,110,5,
662,112,110,4,
663,112,110,6,
664,112,110,6,
665,112,110,7,
666,112,111,5,
667,112,110,6,
668,112,111,6,
669,112,111,5,
670,112,111,3,
671,112,111,4,
672,112,111,2,
673,112,111,1,
674,112,111,1,
675,112,111,0,
676,112,111,0,
677,112,33,794,
678,112,36,628,
679,112,40,576,
680,99,44,325,
681,95,48,263,
682,85,50,182,
683,92,53,211,
684,83,54,170,
685,83,57,156,
686,81,59,136,
687,85,59,165,
688,95,61,185,
689,95,62,170,
690,85,65,109,
691,83,68,82,
692,84,67,66,
693,87,68,67,
694,82,69,50,
695,84,70,55,
696,86,71,51,
697,87,72,53,
698,89,72,54,
699,86,72,47,
700,89,72,38,
701,85,73,33,
702,90,73,37,
703,93,74,41,
704,93,75,40,
705,93,75,52,
706,93,76,51,
707,92,78,59,
708,92,79,42,
709,96,79,49,
710,96,79,53,
711,96,80,66,
712,96,80,76,
713,93,81,65,
714,98,82,49,
715,96,83,59,
716,97,84,40,
717,98,86,47,
718,100,87,53,
719,103,89,45,
720,103,90,36,
721,102,90,40,
722,102,92,38,
723,102,92,37,
724,103,93,41,
725,104,93,37,
726,104,95,29,
727,104,96,22,
728,105,96,26,
729,105,97,28,
730,105,97,25,
731,107,98,19,
732,105,99,17,
733,106,99,16,
734,107,99,17,
735,107,100,15,
736,107,100,17,
737,107,101,17,
738,107,102,16,
739,107,102,16,
740,108,103,9,
741,108,103,10,
742,108,104,6,
743,109,105,6,
744,109,105,2,
745,109,105,2,
746,109,105,2,
747,109,106,1,
748,108,106,1,
749,109,106,1,
750,109,106,1,
751,109,106,1,
752,109,107,1,
753,110,107,1,
754,111,107,1,
755,111,107,1,
756,111,107,2,
757,111,108,2,
758,111,108,3,
759,111,108,2,
760,111,109,2,
761,111,109,2,
762,112,110,1,
763,112,110,1,
764,112,110,1,
765,112,110,1,
766,112,110,1,
767,112,110,1,
768,112,110,1,
769,112,111,1,
770,112,111,1,
771,112,111,0,
772,112,111,0,
773,112,33,768,
774,112,39,899,
775,112,47,903,
776,112,58,973,
777,112,69,970,
778,112,78,716,
779,112,86,511,
780,112,93,338,
781,112,95,299,
782,112,97,256,
783,112,102,138,
784,112,104,88,
785,112,105,75,
786,112,106,80,
787,112,105,67,
788,112,106,48,
789,112,108,39,
790,112,109,18,
791,112,109,17,
792,112,110,12,
793,112,110,12,
794,112,110,10,
795,112,110,10,
796,112,111,3,
797,112,111,2,
798,112,111,2,
799,112,111,2,
800,112,111,1,
801,112,111,1,
802,112,111,1,
803,112,111,0,
804,112,111,0,
805,112,34,760,
806,112,40,824,
807,112,48,864,
808,112,54,748,
809,112,59,802,
810,112,65,735,
811,112,74,605,
812,112,83,430,
813,112,85,401,
814,112,90,326,
815,112,92,303,
816,112,97,210,
817,112,98,184,
818,112,102,95,
819,112,104,74,
820,112,104,75,
821,112,106,37,
822,112,107,35,
823,112,109,24,
824,112,109,11,
825,112,110,8,
826,112,110,4,
827,112,110,4,
828,112,111,2,
829,112,111,2,
830,112,111,1,
831,112,111,0,
832,112,111,0,
833,112,33,770,
834,112,42,1135,
835,112,50,1173,
836,112,67,1132,
837,112,78,994,
838,112,90,525,
839,112,96,321,
840,112,102,190,
841,112,106,77,
842,112,107,60,
843,112,107,44,
844,112,108,26,
845,112,109,17,
846,112,109,13,
847,112,110,11,
848,112,110,8,
849,112,110,8,
850,112,111,4,
851,112,110,5,
852,112,110,3,
853,112,110,4,
854,112,111,3,
855,112,111,2,
856,112,111,2,
857,112,111,1,
858,112,111,1,
859,112,111,1,
860,112,111,0,
861,112,111,0,
862,112,33,772,
863,112,35,546,
864,112,40,613,
865,112,45,556,
866,112,49,481,
867,112,53,508,
868,105,58,392,
869,104,62,325,
870,104,68,305,
871,104,71,323,
872,104,76,311,
873,101,78,199,
874,102,81,160,
875,106,85,144,
876,106,88,116,
877,107,91,74,
878,111,95,42,
879,111,96,51,
880,112,98,36,
881,111,99,34,
882,111,101,37,
883,111,102,31,
884,111,102,26,
885,111,103,25,
886,111,104,22,
887,112,105,23,
888,112,106,21,
889,112,107,17,
890,112,108,11,
891,112,109,10,
892,112,109,11,
893,112,109,6,
894,112,110,4,
895,112,110,4,
896,112,111,3,
897,112,110,4,
898,112,111,5,
899,112,111,3,
900,112,111,2,
901,112,111,0,
902,112,111,0,
903,112,34,759,
904,112,40,817,
905,112,46,797,
906,112,52,700,
907,112,58,661,
908,112,67,629,
909,112,72,656,
910,112,78,551,
911,112,86,373,
912,112,91,307,
913,112,94,222,
914,112,94,271,
915,112,98,175,
916,112,101,96,
917,112,104,51,
918,113,105,30,
919,113,106,29,
920,113,107,22,
921,113,107,16,
922,113,108,18,
923,113,109,12,
924,113,110,8,
925,113,111,9,
926,113,111,2,
927,113,112,1,
928,113,112,1,
929,113,112,1,
930,113,112,0,
931,113,112,0,
932,113,33,793,
933,113,37,752,
934,113,44,839,
935,113,51,971,
936,113,64,1064,
937,113,76,1013,
938,113,82,819,
939,113,93,461,
940,113,95,393,
941,113,98,271,
942,113,102,200,
943,113,106,110,
944,113,108,57,
945,113,109,41,
946,113,110,30,
947,113,110,17,
948,113,111,9,
949,113,112,6,
950,113,112,7,
951,113,112,1,
952,113,112,1,
953,113,112,1,
954,113,112,0,
955,113,112,1,
956,113,112,0,
957,113,112,0,
958,113,34,779,
959,113,38,756,
960,113,47,785,
961,113,54,788,
962,113,59,713,
963,113,67,566,
964,113,74,513,
965,113,80,497,
966,113,88,326,
967,113,92,294,
968,113,98,172,
969,113,100,116,
970,113,101,140,
971,113,102,130,
972,113,105,72,
973,113,105,60,
974,113,107,43,
975,113,107,39,
976,113,109,29,
977,113,110,20,
978,113,111,7,
979,113,112,3,
980,113,112,2,
981,113,112,1,
982,113,112,2,
983,113,112,1,
984,113,112,0,
985,113,112,0,
986,113,33,788,
987,113,39,873,
988,113,47,843,
989,113,54,905,
990,113,64,687,
991,113,72,559,
992,113,79,450,
993,113,82,281,
994,113,89,224,
995,113,93,209,
996,113,96,194,
997,113,98,168,
998,113,101,153,
999,113,104,95,
1000,113,106,61,
1001,113,107,30,
1002,113,108,26,
1003,113,109,19,
1004,113,110,14,
1005,113,111,5,
1006,113,112,0,
1007,113,112,0,
1008,113,33,797,
1009,113,39,856,
1010,113,47,863,
1011,113,55,649,
1012,113,60,613,
1013,113,68,635,
1014,113,74,548,
1015,113,83,474,
1016,113,87,515,
1017,113,93,298,
1018,113,96,260,
1019,113,99,209,
1020,113,100,149,
1021,113,103,100,
1022,113,105,77,
1023,113,107,54,
1024,113,108,37,
1025,113,109,30,
1026,113,110,18,
1027,113,111,12,
1028,113,112,9,
1029,113,112,9,
1030,113,112,2,
1031,113,112,2,
1032,113,112,4,
1033,113,112,2,
1034,113,112,5,
1035,113,112,2,
1036,113,112,2,
1037,113,112,3,
1038,113,112,1,
1039,113,112,1,
1040,113,112,2,
1041,113,112,3,
1042,113,112,1,
1043,113,112,0,
1044,113,112,0,
1045,113,34,786,
1046,113,42,1061,
1047,113,52,1194,
1048,113,65,1163,
1049,113,72,959,
1050,113,81,716,
1051,113,93,525,
1052,113,99,272,
1053,113,102,219,
1054,113,104,169,
1055,113,109,47,
1056,113,109,53,
1057,113,109,41,
1058,113,109,45,
1059,113,109,45,
1060,113,110,32,
1061,113,111,12,
1062,113,111,12,
1063,113,111,11,
1064,113,111,8,
1065,113,111,9,
1066,113,112,5,
1067,113,112,3,
1068,113,112,1,
1069,113,112,1,
1070,113,112,1,
1071,113,112,1,
1072,113,112,1,
1073,113,112,0,
1074,113,112,0,
1075,113,34,784,
1076,113,40,873,
1077,113,48,874,
1078,113,57,821,
1079,113,67,664,
1080,113,78,562,
1081,113,85,339,
1082,113,90,215,
1083,113,92,200,
1084,111,96,84,
1085,113,97,75,
1086,112,99,58,
1087,113,102,56,
1088,113,104,42,
1089,113,103,50,
1090,113,105,34,
1091,113,106,37,
1092,113,107,32,
1093,113,109,25,
1094,113,109,15,
1095,113,110,14,
1096,113,110,11,
1097,113,111,10,
1098,113,111,10,
1099,113,111,9,
1100,113,111,9,
1101,113,111,8,
1102,113,112,4,
1103,113,112,2,
1104,113,112,1,
1105,113,112,1,
1106,113,112,0,
1107,113,112,0,
1108,113,33,788,
1109,113,39,881,
1110,113,42,671,
1111,113,50,732,
1112,113,57,708,
